timstamp,high,low,open,close
1562284800000,0.00449000,0.00460000,0.00355000,0.00387010
1562371200000,0.00387410,0.00394260,0.00336520,0.00350000
1562457600000,0.00350400,0.00365000,0.00340000,0.00353770
1562544000000,0.00353780,0.00356180,0.00340000,0.00345800
1562630400000,0.00346200,0.00358200,0.00335640,0.00345450
1562716800000,0.00345760,0.00352940,0.00325100,0.00334210
1562803200000,0.00333580,0.00333950,0.00309090,0.00320900
1562889600000,0.00321050,0.00335980,0.00315620,0.00326220
1562976000000,0.00326260,0.00326530,0.00313580,0.00325320
1563062400000,0.00324740,0.00327880,0.00290080,0.00291750
1563148800000,0.00291750,0.00313540,0.00280110,0.00307120
1563235200000,0.00306240,0.00310090,0.00273230,0.00279940
1563321600000,0.00279950,0.00298600,0.00270630,0.00288220
1563408000000,0.00286630,0.00312510,0.00277970,0.00309790
1563494400000,0.00310080,0.00310680,0.00292020,0.00302320
1563580800000,0.00301310,0.00315280,0.00300000,0.00307870
1563667200000,0.00307010,0.00312720,0.00298720,0.00304680
1563753600000,0.00305330,0.00308160,0.00292000,0.00295670
1563840000000,0.00295670,0.00295670,0.00281600,0.00281920
1563926400000,0.00281950,0.00288190,0.00276290,0.00287410
1564012800000,0.00285550,0.00294870,0.00284760,0.00286560
1564099200000,0.00286560,0.00290330,0.00281770,0.00287980
1564185600000,0.00289000,0.00296000,0.00275510,0.00280470
1564272000000,0.00279730,0.00281370,0.00272600,0.00279320
1564358400000,0.00278840,0.00288400,0.00276370,0.00276630
1564444800000,0.00276630,0.00288000,0.00274570,0.00278850
1564531200000,0.00279490,0.00287610,0.00278890,0.00285830
1564617600000,0.00285710,0.00306170,0.00282480,0.00290040
1564704000000,0.00290040,0.00292720,0.00286100,0.00289960
1564790400000,0.00289510,0.00294900,0.00287680,0.00289940
1564876800000,0.00289990,0.00299850,0.00284240,0.00292220
1564963200000,0.00291960,0.00319980,0.00291960,0.00304280
1565049600000,0.00304430,0.00308400,0.00291240,0.00295570
1565136000000,0.00295690,0.00303990,0.00287590,0.00298560
1565222400000,0.00299720,0.00299720,0.00285440,0.00296350
1565308800000,0.00297250,0.00297250,0.00283750,0.00291300
1565395200000,0.00292110,0.00294320,0.00280850,0.00285000
1565481600000,0.00285000,0.00289950,0.00282810,0.00288740
1565568000000,0.00288930,0.00289990,0.00284550,0.00285160
1565654400000,0.00285270,0.00286430,0.00278020,0.00283390
1565740800000,0.00283430,0.00283990,0.00270000,0.00271610
1565827200000,0.00272300,0.00276950,0.00255780,0.00259160
1565913600000,0.00258130,0.00271800,0.00251120,0.00265100
1566000000000,0.00264800,0.00266320,0.00257780,0.00262510
1566086400000,0.00262540,0.00272140,0.00258700,0.00269500
1566172800000,0.00269220,0.00281460,0.00266760,0.00278160
1566259200000,0.00277870,0.00278500,0.00267980,0.00271200
1566345600000,0.00271200,0.00271530,0.00256330,0.00263980
1566432000000,0.00264040,0.00271650,0.00255270,0.00264580
1566518400000,0.00264860,0.00269300,0.00261530,0.00266680
1566604800000,0.00266440,0.00267850,0.00256470,0.00262220
1566691200000,0.00262740,0.00266600,0.00258200,0.00262370
1566777600000,0.00261920,0.00270480,0.00259310,0.00264090
1566864000000,0.00263700,0.00264000,0.00257630,0.00259930
1566950400000,0.00260140,0.00260140,0.00247720,0.00249650
1567036800000,0.00249560,0.00249580,0.00233900,0.00242440
1567123200000,0.00244210,0.00249390,0.00238790,0.00244490
1567209600000,0.00245170,0.00248780,0.00241180,0.00245280
1567296000000,0.00245200,0.00248510,0.00241090,0.00246030
1567382400000,0.00246350,0.00261670,0.00243770,0.00258820
1567468800000,0.00259100,0.00260540,0.00253130,0.00255930
1567555200000,0.00256470,0.00257110,0.00250000,0.00250970
1567641600000,0.00252210,0.00252210,0.00245890,0.00249090
1567728000000,0.00248970,0.00250540,0.00240000,0.00247000
1567814400000,0.00245040,0.00250700,0.00240290,0.00245420
1567900800000,0.00246500,0.00253060,0.00240000,0.00245850
1567987200000,0.00244530,0.00246920,0.00240000,0.00243510
1568073600000,0.00243510,0.00246120,0.00238490,0.00241850
1568160000000,0.00241930,0.00243860,0.00236010,0.00238920
1568246400000,0.00239120,0.00243100,0.00232650,0.00239280
1568332800000,0.00239060,0.00241280,0.00236000,0.00239900
1568419200000,0.00240890,0.00243700,0.00237010,0.00241920
1568505600000,0.00242330,0.00248510,0.00239000,0.00242600
1568592000000,0.00242490,0.00247650,0.00239780,0.00243090
1568678400000,0.00243160,0.00262000,0.00241000,0.00259400
1568764800000,0.00259720,0.00281030,0.00255270,0.00270150
1568851200000,0.00270280,0.00273220,0.00254000,0.00270830
1568937600000,0.00270620,0.00270620,0.00261470,0.00264970
1569024000000,0.00264970,0.00266190,0.00253900,0.00257720
1569110400000,0.00257000,0.00259900,0.00251730,0.00256200
1569196800000,0.00256970,0.00257190,0.00244740,0.00244740
1569283200000,0.00244740,0.00247310,0.00193170,0.00219000
1569369600000,0.00218930,0.00222410,0.00206650,0.00217570
1569456000000,0.00216930,0.00223750,0.00201850,0.00213960
1569542400000,0.00213480,0.00219900,0.00209850,0.00217230
1569628800000,0.00217600,0.00223200,0.00214010,0.00219740
1569715200000,0.00220330,0.00223990,0.00212350,0.00218540
1569801600000,0.00220300,0.00247330,0.00212640,0.00237470
1569888000000,0.00237910,0.00250010,0.00234730,0.00235030
1569974400000,0.00235610,0.00236920,0.00228090,0.00232300
1570060800000,0.00232300,0.00232500,0.00223530,0.00229770
1570147200000,0.00229800,0.00232500,0.00223980,0.00228930
1570233600000,0.00228820,0.00230510,0.00226140,0.00229220
1570320000000,0.00229930,0.00230480,0.00222750,0.00226770
1570406400000,0.00226590,0.00236540,0.00223680,0.00233100
1570492800000,0.00232980,0.00236490,0.00227830,0.00230960
1570579200000,0.00230960,0.00236520,0.00224670,0.00235220
1570665600000,0.00234600,0.00235120,0.00229270,0.00230000
1570752000000,0.00229700,0.00234110,0.00222500,0.00229090
1570838400000,0.00228800,0.00233100,0.00227510,0.00231960
1570924800000,0.00231900,0.00263490,0.00230960,0.00243170
1571011200000,0.00243120,0.00275000,0.00240670,0.00254150
1571097600000,0.00254820,0.00258000,0.00246520,0.00249640
1571184000000,0.00249570,0.00262280,0.00248510,0.00261620
1571270400000,0.00261170,0.00297400,0.00257780,0.00274050
1571356800000,0.00273500,0.00286650,0.00263110,0.00269520
1571443200000,0.00269440,0.00279490,0.00264670,0.00271760
1571529600000,0.00271790,0.00275750,0.00264070,0.00271510
1571616000000,0.00270790,0.00295000,0.00257580,0.00268790
1571702400000,0.00268840,0.00272970,0.00250850,0.00253110
1571788800000,0.00253860,0.00256500,0.00210000,0.00247460
1571875200000,0.00248050,0.00255000,0.00240000,0.00251830
1571961600000,0.00251830,0.00277990,0.00246520,0.00266940
1572048000000,0.00266940,0.00289800,0.00255770,0.00259250
1572134400000,0.00260610,0.00295420,0.00256000,0.00264000
1572220800000,0.00264000,0.00275000,0.00262340,0.00262650
1572307200000,0.00263790,0.00269520,0.00261500,0.00262500
1572393600000,0.00262500,0.00266490,0.00255840,0.00259360
1572480000000,0.00258910,0.00263570,0.00254730,0.00258440
1572566400000,0.00258110,0.00267500,0.00255220,0.00259320
1572652800000,0.00259940,0.00261140,0.00254630,0.00257730
1572739200000,0.00259660,0.00263690,0.00254270,0.00258610
1572825600000,0.00258030,0.00260000,0.00253800,0.00257510
1572912000000,0.00257510,0.00260450,0.00255010,0.00259270
1572998400000,0.00258810,0.00261000,0.00255000,0.00259520
1573084800000,0.00259420,0.00274490,0.00256940,0.00269820
1573171200000,0.00270400,0.00270960,0.00253500,0.00263810
1573257600000,0.00264420,0.00273510,0.00260790,0.00271260
1573344000000,0.00270780,0.00278490,0.00266470,0.00275650
1573430400000,0.00276530,0.00276870,0.00264600,0.00270500
1573516800000,0.00270420,0.00272440,0.00264560,0.00270780
1573603200000,0.00270780,0.00270780,0.00263160,0.00268210
1573689600000,0.00267510,0.00268620,0.00259910,0.00266200
1573776000000,0.00266500,0.00271000,0.00257670,0.00265800
1573862400000,0.00265040,0.00270000,0.00261640,0.00266060
1573948800000,0.00265170,0.00266190,0.00258930,0.00262580
1574035200000,0.00261590,0.00262990,0.00250020,0.00253950
1574121600000,0.00253510,0.00253810,0.00248830,0.00251650
1574208000000,0.00252060,0.00259000,0.00250650,0.00252250
1574294400000,0.00252090,0.00253020,0.00230000,0.00240630
1574380800000,0.00240590,0.00244260,0.00217330,0.00235240
1574467200000,0.00235280,0.00240000,0.00226120,0.00239940
1574553600000,0.00238920,0.00238920,0.00223230,0.00223300
1574640000000,0.00223680,0.00232060,0.00208100,0.00225390
1574726400000,0.00224740,0.00231280,0.00222670,0.00226630
1574812800000,0.00226630,0.00236000,0.00218660,0.00232080
1574899200000,0.00231530,0.00236000,0.00226140,0.00227200
1574985600000,0.00227350,0.00237330,0.00227220,0.00235930
1575072000000,0.00235930,0.00236070,0.00227110,0.00229180
1575158400000,0.00229200,0.00230410,0.00223230,0.00226480
1575244800000,0.00227080,0.00227080,0.00215880,0.00221940
1575331200000,0.00222090,0.00223660,0.00215040,0.00217820
1575417600000,0.00217310,0.00224500,0.00211230,0.00216820
1575504000000,0.00217170,0.00221990,0.00214060,0.00217550
1575590400000,0.00217050,0.00224160,0.00210010,0.00219440
1575676800000,0.00218940,0.00225040,0.00216010,0.00218400
1575763200000,0.00218340,0.00224990,0.00215000,0.00219710
1575849600000,0.00219680,0.00221820,0.00216240,0.00216990
1575936000000,0.00216350,0.00221500,0.00209030,0.00213680
1576022400000,0.00214020,0.00217400,0.00210790,0.00213790
1576108800000,0.00215150,0.00216880,0.00211660,0.00213440
1576195200000,0.00213480,0.00222450,0.00210510,0.00213210
