timstamp,high,low,open,close
1597708800000,2.09000000,4.44000000,2.00000000,3.10000000
1597795200000,3.10000000,3.19990000,2.64000000,2.95000000
1597881600000,2.94490000,3.11110000,2.60000000,2.90000000
1597968000000,2.89780000,3.09000000,2.68260000,2.83300000
1598054400000,2.83870000,4.55000000,2.78200000,4.45460000
1598140800000,4.47560000,4.48640000,3.70320000,3.97790000
1598227200000,3.98050000,4.79830000,3.78000000,4.57590000
1598313600000,4.57590000,5.77000000,4.48000000,5.54120000
1598400000000,5.54120000,6.57000000,5.10150000,6.07080000
1598486400000,6.07080000,6.80000000,5.20010000,5.65470000
1598572800000,5.65690000,6.35000000,5.46200000,6.18120000
1598659200000,6.17690000,6.55600000,6.00320000,6.13330000
1598745600000,6.13390000,6.25100000,5.69990000,5.89120000
1598832000000,5.88750000,6.46620000,5.75410000,6.27180000
1598918400000,6.27120000,6.86190000,6.12000000,6.23900000
1599004800000,6.24000000,6.44720000,5.58000000,6.13740000
1599091200000,6.13750000,6.33250000,5.54710000,5.67430000
1599177600000,5.67430000,5.99000000,4.50000000,5.10190000
1599264000000,5.09870000,5.31470000,3.53210000,4.14560000
1599350400000,4.14560000,4.92100000,3.72980000,4.78400000
1599436800000,4.78490000,4.83670000,4.00100000,4.59440000
1599523200000,4.59670000,4.63390000,4.10670000,4.27870000
1599609600000,4.26570000,4.79350000,4.07700000,4.70030000
1599696000000,4.70030000,4.88940000,4.43080000,4.57960000
1599782400000,4.57810000,4.75000000,4.31000000,4.64980000
1599868800000,4.64330000,5.29600000,4.49980000,5.13850000
1599955200000,5.13790000,5.47710000,4.76680000,5.32130000
1600041600000,5.31980000,5.57610000,5.09110000,5.35550000
1600128000000,5.35970000,5.45000000,5.01200000,5.05350000
1600214400000,5.05350000,5.28000000,4.95780000,5.07120000
1600300800000,5.07390000,5.42610000,5.04300000,5.33540000
1600387200000,5.33130000,5.45500000,5.09390000,5.26160000
1600473600000,5.25950000,5.26400000,4.78620000,4.92400000
1600560000000,4.92050000,4.97070000,4.37150000,4.65180000
1600646400000,4.65600000,4.69690000,3.91000000,4.06910000
1600732800000,4.07000000,4.21030000,3.90000000,4.16250000
1600819200000,4.16230000,4.32410000,3.94000000,4.00770000
1600905600000,4.01280000,4.49000000,3.96160000,4.37820000
1600992000000,4.37840000,4.52990000,4.24100000,4.41390000
1601078400000,4.41390000,4.48190000,4.22400000,4.33080000
1601164800000,4.33290000,4.36410000,4.11520000,4.29620000
1601251200000,4.29990000,4.59390000,4.24740000,4.45010000
1601337600000,4.45000000,4.61120000,4.33100000,4.49690000
1601424000000,4.49700000,4.50000000,4.22880000,4.34580000
1601510400000,4.34590000,4.58580000,4.23170000,4.34680000
1601596800000,4.34270000,4.36210000,3.88820000,4.12820000
1601683200000,4.12800000,4.13490000,4.02630000,4.06070000
1601769600000,4.06060000,4.19900000,4.01110000,4.17700000
1601856000000,4.17440000,4.25000000,4.10600000,4.16210000
1601942400000,4.15890000,4.18000000,3.60600000,3.74650000
1602028800000,3.74610000,3.89640000,3.60000000,3.85170000
1602115200000,3.85380000,4.16250000,3.63330000,4.11630000
1602201600000,4.11450000,4.35000000,4.00870000,4.25410000
1602288000000,4.25460000,4.48900000,4.23000000,4.26060000
1602374400000,4.25790000,4.33550000,4.16830000,4.24500000
1602460800000,4.24640000,4.45010000,4.18990000,4.30750000
1602547200000,4.30990000,4.34640000,4.13020000,4.24730000
